day,date,time,beg_time,end_time,location,id,session,type,url,sponsor,has_fee,beg_time_round,end_time_round
Sun,7/28/2019,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-303,,Regression Modeling Strategies (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308035,"ASA, Biometrics Section",TRUE,8,17
Sun,7/28/2019,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-407,,Teaching Data Science (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308036,"ASA, Section on Statistical Computing, Section on Statistics and Data Science Education",TRUE,8,17
Sun,7/28/2019,8:30 AM - 5:00 PM,8:30 AM,5:00 PM,CC-405,,Statistical Network Analysis and Applications in Biology (ADDED FEE),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308034,"ASA, Section on Statistical Learning and Data Science",TRUE,8,17
Sun,7/28/2019,9:00 AM - 10:30 AM,9:00 AM,10:30 AM,H-Granite A,218944,Caucus for Women in Statistics Governing Council Meeting (Closed),Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218944,Caucus for Women in Statistics,FALSE,9,11
Sun,7/28/2019,9:00 AM - 7:00 PM,9:00 AM,7:00 PM,CC-601,219057,Speaker Ready Room,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219057,AbbVie,FALSE,9,19
Sun,7/28/2019,10:00 AM - 5:00 PM,10:00 AM,5:00 PM,CC-F Lobby,219131,Denver Restaurant and Tourism Information Center,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219131,JSM,FALSE,10,17
Sun,7/28/2019,10:30 AM - 12:30 PM,10:30 AM,12:30 PM,CC-603,CE_44P,JSM Presentation Skills Workshop (FREE - NO REGISTRATION REQUIRED),Professional Development,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/AbstractDetails.cfm?abstractid=308073,ASA,FALSE,10,13
Sun,7/28/2019,11:30 AM - 2:00 PM,11:30 AM,2:00 PM,H-Mineral Hall C,219011,NISS Affiliate Luncheon (Closed),Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=219011,National Institute of Statistical Sciences,FALSE,11,14
Sun,7/28/2019,12:15 PM - 1:45 PM,12:15 PM,1:45 PM,CC-302,218857,Funding Opportunities for Statisticians,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218857,Committee on Funded Research,FALSE,12,14
Sun,7/28/2019,12:30 PM - 2:00 PM,12:30 PM,2:00 PM,H-Granite A,218831,Leadership Support Council,Other,https://ww2.amstat.org/meetings/jsm/2019/onlineprogram/ActivityDetails.cfm?SessionID=218831,Leadership Support Council,FALSE,12,14
